Feb 25, 2019 12:49:14 PM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Feb 25, 2019 12:49:14 PM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Feb 25, 2019 12:49:15 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock /home/alpine/odl/lock
Feb 25, 2019 12:49:15 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Feb 25, 2019 12:49:15 PM org.apache.karaf.main.Main$KarafLockCallback lockAquired
INFO: Lock acquired. Setting startlevel to 100
2019-02-25 12:49:20,922 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.karaf.log/org.apache.karaf.log.core/4.0.10
2019-02-25 12:49:20,922 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.karaf.management/org.apache.karaf.management.server/4.0.10
2019-02-25 12:49:20,922 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.karaf.package/org.apache.karaf.package.core/4.0.10
2019-02-25 12:49:20,922 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.karaf.service/org.apache.karaf.service.core/4.0.10
2019-02-25 12:49:20,923 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.karaf.shell/org.apache.karaf.shell.commands/4.0.10
2019-02-25 12:49:20,923 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.karaf.shell/org.apache.karaf.shell.console/4.0.10
2019-02-25 12:49:20,923 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.karaf.shell/org.apache.karaf.shell.core/4.0.10
2019-02-25 12:49:20,923 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.karaf.shell/org.apache.karaf.shell.ssh/4.0.10
2019-02-25 12:49:20,923 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.karaf.shell/org.apache.karaf.shell.table/4.0.10
2019-02-25 12:49:20,923 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.karaf.system/org.apache.karaf.system.core/4.0.10
2019-02-25 12:49:20,923 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.servicemix.bundles/org.apache.servicemix.bundles.not-yet-commons-ssl/0.3.11_1
2019-02-25 12:49:20,923 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.sshd/sshd-core/0.14.0
2019-02-25 12:49:20,923 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.jledit/core/0.2.1
2019-02-25 12:49:20,923 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.ow2.asm/asm-all/5.0.4
2019-02-25 12:49:20,923 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.ops4j.pax.url/pax-url-wrap/2.5.2/jar/uber
2019-02-25 12:49:20,925 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 | Installing bundles:
2019-02-25 12:49:20,925 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |   mvn:jline/jline/2.14.1
2019-02-25 12:49:20,933 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.aries.blueprint/org.apache.aries.blueprint.api/1.0.1
2019-02-25 12:49:20,937 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.aries.blueprint/org.apache.aries.blueprint.cm/1.0.9
2019-02-25 12:49:20,940 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.aries.blueprint/org.apache.aries.blueprint.core/1.7.1
2019-02-25 12:49:20,948 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.aries.blueprint/org.apache.aries.blueprint.core.compatibility/1.0.0
2019-02-25 12:49:20,951 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.aries.jmx/org.apache.aries.jmx.api/1.1.5
2019-02-25 12:49:20,954 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.aries.jmx/org.apache.aries.jmx.blueprint.api/1.1.5
2019-02-25 12:49:20,957 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.aries.jmx/org.apache.aries.jmx.blueprint.core/1.1.5
2019-02-25 12:49:20,960 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.aries.jmx/org.apache.aries.jmx.core/1.1.7
2019-02-25 12:49:20,965 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.aries.jmx/org.apache.aries.jmx.whiteboard/1.1.5
2019-02-25 12:49:20,968 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.aries.proxy/org.apache.aries.proxy.api/1.0.1
2019-02-25 12:49:20,971 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.aries.proxy/org.apache.aries.proxy.impl/1.0.5
2019-02-25 12:49:20,974 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.aries.quiesce/org.apache.aries.quiesce.api/1.0.0
2019-02-25 12:49:20,977 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.aries/org.apache.aries.util/1.1.1
2019-02-25 12:49:20,981 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.karaf.bundle/org.apache.karaf.bundle.blueprintstate/4.0.10
2019-02-25 12:49:21,003 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.karaf.bundle/org.apache.karaf.bundle.core/4.0.10
2019-02-25 12:49:21,007 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.karaf.config/org.apache.karaf.config.core/4.0.10
2019-02-25 12:49:21,011 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.blueprint/4.0.10
2019-02-25 12:49:21,014 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.features/4.0.10
2019-02-25 12:49:21,017 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.kar/4.0.10
2019-02-25 12:49:21,022 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.wrap/4.0.10
2019-02-25 12:49:21,030 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.karaf.diagnostic/org.apache.karaf.diagnostic.boot/4.0.10
2019-02-25 12:49:21,036 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.karaf.diagnostic/org.apache.karaf.diagnostic.core/4.0.10
2019-02-25 12:49:21,039 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.karaf.features/org.apache.karaf.features.command/4.0.10
2019-02-25 12:49:21,043 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.karaf.instance/org.apache.karaf.instance.core/4.0.10
2019-02-25 12:49:21,048 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.karaf.jaas.blueprint/org.apache.karaf.jaas.blueprint.config/4.0.10
2019-02-25 12:49:21,051 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.command/4.0.10
2019-02-25 12:49:21,054 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.config/4.0.10
2019-02-25 12:49:21,058 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.modules/4.0.10
2019-02-25 12:49:21,072 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.karaf.kar/org.apache.karaf.kar.core/4.0.10
2019-02-25 12:49:21,076 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.karaf.log/org.apache.karaf.log.core/4.0.10
2019-02-25 12:49:21,080 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.karaf.management/org.apache.karaf.management.server/4.0.10
2019-02-25 12:49:21,084 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.karaf.package/org.apache.karaf.package.core/4.0.10
2019-02-25 12:49:21,087 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.karaf.service/org.apache.karaf.service.core/4.0.10
2019-02-25 12:49:21,090 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.karaf.shell/org.apache.karaf.shell.commands/4.0.10
2019-02-25 12:49:21,094 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.karaf.shell/org.apache.karaf.shell.console/4.0.10
2019-02-25 12:49:21,101 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.karaf.shell/org.apache.karaf.shell.core/4.0.10
2019-02-25 12:49:21,109 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.karaf.shell/org.apache.karaf.shell.ssh/4.0.10
2019-02-25 12:49:21,113 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.karaf.shell/org.apache.karaf.shell.table/4.0.10
2019-02-25 12:49:21,116 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.karaf.system/org.apache.karaf.system.core/4.0.10
2019-02-25 12:49:21,121 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.servicemix.bundles/org.apache.servicemix.bundles.not-yet-commons-ssl/0.3.11_1
2019-02-25 12:49:21,126 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.sshd/sshd-core/0.14.0
2019-02-25 12:49:21,135 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.jledit/core/0.2.1
2019-02-25 12:49:21,140 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.ow2.asm/asm-all/5.0.4
2019-02-25 12:49:21,146 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.ops4j.pax.url/pax-url-wrap/2.5.2/jar/uber
2019-02-25 12:49:21,422 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 | Starting bundles:
2019-02-25 12:49:21,424 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |   org.ops4j.pax.url.wrap/2.5.2
2019-02-25 12:49:21,442 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |   org.apache.aries.blueprint.api/1.0.1
2019-02-25 12:49:21,443 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |   org.objectweb.asm.all/5.0.4
2019-02-25 12:49:21,443 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |   org.apache.aries.util/1.1.1
2019-02-25 12:49:21,444 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |   org.apache.aries.proxy.api/1.0.1
2019-02-25 12:49:21,445 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |   org.apache.aries.proxy.impl/1.0.5
2019-02-25 12:49:21,454 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |   org.apache.aries.quiesce.api/1.0.0
2019-02-25 12:49:21,455 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |   org.apache.aries.blueprint.core/1.7.1
2019-02-25 12:49:21,804 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |   org.apache.aries.blueprint.cm/1.0.9
2019-02-25 12:49:21,840 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |   org.apache.karaf.deployer.wrap/4.0.10
